Temp,Humidity,Pressure,Rain
60,75,29.68,1
48,68,30.13,0
45,52,30.49,0
46,56,30.45,0
48,63,30.4,0
50,76,30.1,0
40,60,30.33,0
46,54,30.39,0
54,68,30.11,0
44,55,30.37,0
43,49,30.35,0
57,68,29.95,0
47,59,30.08,0
29,38,30.68,0
35,43,30.52,0
47,75,30.2,1
62,80,30.11,0
65,81,29.87,1
62,53,30.06,0
57,68,30.01,1
57,51,30.01,0
57,41,30.13,0
52,35,30.33,0
56,38,30.13,0
54,31,30.29,0
54,45,30.19,0
59,39,30.22,0
64,44,30,0
51,39,30.31,0
54,45,30.11,0
42,64,30.47,1
33,60,30.63,1
48,53,30.19,0
60,52,29.84,0
47,44,30.09,1
33,48,30.4,1
38,42,30.41,0
48,64,30.06,0
68,64,29.87,0
45,69,30.09,1
40,74,30.17,0
53,68,29.95,1
40,60,30.37,0
29,54,30.48,0
34,68,30.32,0
51,63,30.17,0
59,70,30.05,0
35,80,30.24,1
45,57,30.18,0
51,58,30.02,0
67,51,29.93,0
59,43,30.09,0
68,74,30.01,0
70,52,30.03,0
69,55,30,0
73,70,29.85,0
70,48,29.85,0
57,43,30.11,0
63,53,29.96,0
74,57,29.95,0
66,65,30.04,0
44,63,30.18,1
45,56,30.1,0
62,60,29.85,0
68,74,29.95,0
51,79,30.05,1
36,56,30.33,1
40,72,30.18,1
46,76,30.06,0
54,62,30.18,0
53,65,29.99,0
52,88,30.09,1
49,71,30.29,1
61,69,30.08,1
70,66,29.77,0
60,36,30.13,0
52,35,30.26,0
62,68,30.04,0
68,81,29.86,1
56,66,29.9,0
55,36,29.94,0
65,49,29.74,0
62,52,30.07,0
59,52,30.15,0
67,69,29.95,0
69,80,29.95,0
54,62,30.19,0
58,58,30.14,0
57,61,30.24,0
72,78,29.83,1
76,64,29.79,0
64,43,30.18,0
62,56,30.13,0
73,65,29.93,0
76,71,29.92,0
57,76,29.81,1
62,69,29.92,1
64,57,30.14,0
65,51,30.17,0
72,59,30.01,0
73,65,29.98,0
75,66,29.91,0
58,65,29.96,1
52,39,30.27,0
57,56,30.06,0
62,85,30.09,1
69,68,30.17,1
66,68,30.12,0
68,77,30.1,0
74,72,30.01,1
75,61,29.96,0
73,68,29.85,0
78,63,29.82,0
76,51,29.92,0
85,51,29.55,0
80,39,29.61,0
72,36,29.77,0
66,32,30.08,0
65,39,30.12,0
70,33,30.02,0
76,27,30,0
76,27,30.02,0
76,61,29.91,0
76,66,29.81,0
79,65,29.81,0
79,75,29.81,1
76,71,29.84,0
83,63,29.77,0
72,87,29.84,1
61,73,30.09,1
64,57,30.24,1
65,55,30.22,0
74,40,30.06,0
73,58,29.97,0
74,67,30.03,0
76,65,30,0
78,63,30.01,0
80,61,30.02,0
78,69,30.03,1
70,83,30,1
68,86,29.95,1
76,74,29.88,0
78,66,29.85,0
81,60,29.82,0
82,63,29.85,0
80,69,29.9,0
83,67,29.91,0
83,70,29.86,0
83,72,29.82,0
83,70,29.88,0
83,71,29.89,0
77,78,29.81,1
78,64,29.85,0
80,64,29.83,0
80,68,29.82,1
79,75,29.95,0
92,77,29.93,0
83,-0,29.9,0
84,69,29.99,0
85,68,29.96,1
84,68,30,1
83,69,30.04,0
78,75,29.93,1
84,72,30,1
80,77,30.01,1
80,76,29.95,1
86,69,29.97,0
87,64,29.94,0
86,64,29.92,0
85,64,30,0
84,62,30.08,1
82,67,30.15,0
82,70,30.12,0
84,72,30.03,0
85,61,29.97,0
86,63,29.99,0
85,59,30,0
84,64,30.01,0
83,60,30.09,0
85,59,30.1,0
87,63,30.03,0
88,55,29.96,0
83,71,29.96,1
84,68,29.95,1
82,77,29.86,1
75,87,29.93,1
78,76,29.99,0
84,73,29.96,0
87,70,29.97,0
86,68,30.01,0
86,66,30,0
84,70,29.99,1
86,63,29.96,0
87,66,29.95,0
87,64,30,0
87,62,30.05,0
87,63,30.03,0
86,60,29.97,0
87,64,29.94,0
82,59,29.98,0
79,70,30.02,0
83,62,30,0
83,66,29.98,0
85,61,29.99,0
88,64,29.96,0
90,59,29.9,0
89,60,29.89,0
89,60,29.94,0
89,58,29.96,0
89,62,30,1
87,62,29.99,0
83,45,30.01,0
84,50,29.97,0
88,58,29.95,0
91,57,29.88,0
90,56,29.92,0
90,59,29.9,0
87,55,29.87,0
90,57,29.92,0
92,55,29.98,0
91,55,29.99,0
88,62,29.94,0
89,59,29.9,0
89,59,29.9,0
87,58,29.96,0
88,61,29.89,0
87,64,29.87,1
85,69,29.91,0
87,68,29.93,0
90,62,29.9,0
88,66,29.91,1
88,61,29.95,0
86,65,30,1
87,63,30.02,1
86,67,30.01,1
82,78,30.04,1
84,70,29.97,0
86,63,29.9,0
88,63,29.83,0
89,60,29.89,0
81,67,30,1
63,92,30.19,1
71,87,30.16,0
79,76,30.09,0
84,70,30.01,1
83,75,29.93,1
81,78,29.88,1
80,85,29.89,1
82,78,29.94,1
81,71,30.01,0
81,69,30.07,0
76,57,30.09,0
72,64,30.1,0
76,71,30.06,0
77,72,29.98,0
78,68,29.92,0
78,70,29.83,0
84,68,29.79,0
84,72,29.82,1
75,44,30.06,0
70,51,30.12,0
75,69,29.9,0
81,73,29.86,0
83,67,29.92,0
82,70,29.98,0
84,66,29.89,0
69,85,30.04,1
69,86,29.88,1
69,63,29.8,1
66,49,30.09,0
72,46,30.06,0
72,50,29.94,0
74,69,29.9,0
76,67,30,0
74,74,30.06,0
73,73,30.02,0
71,61,30.03,0
73,64,30.12,0
75,62,30.11,0
74,62,29.98,0
74,67,29.89,0
75,74,29.99,0
73,68,30.1,0
66,60,30.22,1
58,54,30.34,0
62,61,30.26,0
67,87,30.09,1
57,97,30.16,1
59,75,30.28,1
60,53,30.19,0
62,67,30.1,0
61,59,30.07,0
63,70,29.83,0
54,67,30.03,0
44,50,30.34,0
36,43,30.52,0
38,44,30.4,0
44,72,30.14,1
42,91,30,1
42,52,30.4,0
43,51,30.48,0
51,64,30.27,0
57,85,30.08,1
68,90,30.05,1
63,97,29.86,1
67,62,29.64,0
53,47,30.06,0
53,53,30.26,0
60,40,30.22,0
53,52,30.45,0
57,62,30.24,0
65,75,30.02,0
72,71,30.03,0
54,69,30.31,0
45,63,30.33,0
54,88,30.18,0
62,94,30.11,1
69,82,30.08,1
62,72,30.32,0
54,83,30.33,0
58,69,30.32,0
56,70,30.31,0
57,75,30.2,1
62,85,30.18,1
65,79,30.15,0
68,82,29.94,1
63,58,29.99,0
55,47,30.28,0
51,75,30.14,1
53,89,30.12,1
52,82,30.21,0
53,83,30.02,0
67,63,29.7,0
46,62,30.11,0
49,61,30.05,0
64,83,29.93,1
54,79,30.09,1
40,71,30.25,1
49,68,30.14,0
43,87,30.36,0
37,82,30.25,1
41,95,30.08,1
51,74,29.99,1
43,69,30.48,0
41,54,30.6,0
54,50,30.38,0
41,54,30.58,0
36,62,30.48,1
34,76,30.42,1
42,90,30.21,1
43,88,30.28,0
39,83,30.43,0
39,86,30.33,0
49,68,30.33,0
51,64,30.29,0
54,63,30.13,0
59,37,30.28,0
56,59,30.04,0
61,59,29.94,0
53,84,30.07,1
47,91,30.07,1
45,77,30.26,1
50,62,30.2,0
57,53,30.11,0
60,43,30.21,0
67,47,30.15,0
62,60,30.12,0
56,80,30.04,1
59,77,29.98,1
41,48,30.35,0
42,76,30.27,1
49,92,30.13,1
49,69,30.37,0
55,71,30.08,0
68,72,29.9,0
68,49,30.07,0
64,57,29.99,0
65,64,30.03,0
53,51,30.35,0
55,58,30.31,0
63,60,30.22,0
51,79,30.03,1
45,59,30.25,0
49,56,30.31,0
54,61,30.25,0
65,72,29.92,0
67,69,29.88,0
47,80,30.14,1
34,87,30.45,1
34,84,30.24,0
49,64,29.94,1
43,74,30.19,0
34,72,30.38,1
34,93,30.31,1
39,95,30.29,1
42,95,30.28,1
52,95,29.98,1
52,95,29.9,1
39,61,30.45,1
42,54,30.56,0
51,69,30.17,1
52,97,29.96,1
57,78,30.04,0
57,79,30.2,0
63,73,30.1,1
66,68,30,0
66,61,30.1,0
60,72,30.26,0
65,73,30.21,0
70,82,30.11,1
71,74,29.99,1
73,79,29.95,0
64,89,30.09,1
58,95,30.08,1
68,75,30.03,0
66,73,30.06,0
71,72,29.97,0
73,72,29.91,0
62,62,30.03,1
64,44,30.15,0
66,54,30.08,0
71,67,30.06,0
72,76,30.11,0
74,74,30,0
76,76,29.9,0
76,67,29.98,0
63,53,30.24,0
64,78,30,1
75,76,29.94,0
78,71,29.96,0
79,73,29.86,0
65,70,30.08,1
75,81,29.91,1
76,67,29.86,1
67,67,30.04,0
69,69,29.97,0
74,78,29.91,1
71,81,29.92,1
66,82,29.87,1
73,60,29.8,0
64,48,29.98,0
66,66,29.95,0
77,85,29.87,0
77,85,29.82,1
82,61,29.74,1
78,77,29.65,1
74,66,29.68,1
59,74,29.98,0
63,61,30.05,0
67,60,29.99,0
70,60,30.02,0
71,58,30.02,0
71,67,29.98,0
75,71,30.02,0
75,77,29.95,1
79,74,29.91,1
78,81,29.87,1
76,88,29.87,1
79,79,29.82,1
82,71,29.8,0
74,78,29.99,1
67,91,30.14,1
67,97,30.08,1
78,83,30.03,1
72,87,29.95,1
77,79,29.85,0
75,83,29.94,1
81,77,30.03,0
81,75,29.94,1
69,84,30.08,1
70,91,30.08,1
77,83,30.02,1
73,81,29.89,1
74,87,29.84,1
78,80,29.95,0
78,80,30.01,1
77,76,29.95,1
77,67,30.06,0
76,70,30.03,0
79,70,29.96,0
78,69,29.91,0
78,68,29.95,0
80,72,29.97,0
81,71,29.94,0
82,67,29.95,0
84,60,29.89,0
83,62,29.83,0
84,71,29.8,0
84,70,29.82,1
79,87,29.89,1
82,78,29.93,1
78,84,29.9,1
81,83,29.85,1
82,82,29.95,0
78,87,30.02,1
78,90,30.02,1
79,85,30.03,1
81,84,30.06,0
84,73,30.1,0
83,78,30.12,0
83,76,30.06,0
85,73,29.98,0
83,75,29.99,1
82,73,30,1
84,75,29.97,0
84,76,30.01,1
84,73,29.98,0
84,75,30,0
84,72,29.99,0
85,69,29.98,0
85,65,30.03,0
84,68,30.06,0
83,69,30.1,0
84,67,30.05,0
86,69,29.93,0
86,61,29.87,0
85,64,29.91,0
85,69,29.95,0
86,66,29.94,0
88,65,29.96,0
87,65,29.97,0
86,66,29.93,0
86,66,29.88,0
87,64,29.89,0
88,62,29.95,0
88,62,29.98,0
87,66,29.95,0
87,67,29.89,0
89,62,29.9,0
89,63,29.93,0
89,61,29.99,0
88,55,30.01,0
90,52,29.97,0
86,47,29.94,0
88,48,29.88,0
87,54,29.86,0
89,62,29.9,0
90,59,29.93,0
90,59,29.89,0
89,61,29.87,0
90,66,29.86,0
92,43,29.95,0
91,51,29.94,0
90,58,29.95,0
89,54,29.96,0
87,58,29.93,0
86,61,29.91,0
88,62,29.84,0
89,62,29.8,0
79,78,29.94,1
87,65,29.92,0
89,64,29.97,0
89,58,30,0
89,56,30.01,0
86,62,30.05,0
86,56,30.01,0
85,50,29.95,0
83,55,29.98,0
86,55,29.97,0
86,59,29.97,0
84,64,30,0
83,65,30.01,0
84,64,29.92,0
88,62,29.91,0
90,62,29.95,1
88,63,29.95,0
88,61,29.91,0
88,61,29.89,0
84,74,29.91,1
84,71,29.91,1
80,55,30.02,0
77,49,30.02,0
77,53,30.01,0
84,72,30.05,1
86,67,29.99,0
86,64,29.88,0
85,60,29.92,0
82,60,29.96,0
84,57,29.95,0
84,56,29.98,0
81,58,29.99,0
82,49,29.99,0
82,54,29.93,0
81,50,29.87,0
79,64,29.83,0
81,63,29.86,0
83,56,29.94,0
82,52,30,0
78,45,29.97,0
72,40,29.88,0
73,45,29.95,0
76,45,30.03,0
77,44,30.07,0
77,54,30.02,0
80,64,30,0
80,62,30.07,0
79,56,30.11,0
80,55,29.92,0
86,62,29.78,0
79,45,29.96,0
78,36,30.03,0
79,55,30.06,0
76,60,30.15,0
75,46,30.22,0
71,33,30.27,0
70,46,30.19,0
73,61,30.08,0
76,85,29.97,1
76,91,29.89,1
68,94,29.9,1
61,89,30.02,1
69,62,29.97,0
71,61,29.85,0
70,53,29.85,0
66,66,29.89,0
71,90,29.73,1
71,82,29.75,1
67,75,29.96,1
68,75,29.98,0
69,74,30.01,0
79,83,29.97,1
68,62,30.06,1
60,79,30.17,1
62,56,30.23,0
63,66,30.12,0
67,82,30.02,0
77,62,29.87,0
64,36,30.19,0
61,47,30.28,0
60,66,30.3,1
62,73,30.18,0
70,92,29.85,1
61,69,29.66,1
58,64,29.86,0
63,59,30.08,0
65,67,30.03,0
47,56,30.32,0
48,61,30.29,0
56,74,30.14,0
71,91,30.1,1
58,94,30.14,1
42,91,30.23,1
45,91,30.18,1
50,86,30.06,0
53,72,30.05,0
55,65,30.18,0
52,61,30.38,0
50,66,30.45,0
51,66,30.43,0
57,71,30.4,0
57,64,30.27,0
59,70,30.03,0
62,61,29.98,0
65,78,29.86,0
66,79,29.83,0
73,85,29.75,1
60,84,29.7,1
59,57,29.78,0
64,86,29.72,0
55,40,29.92,0
54,54,30.08,0
46,55,30.37,0
51,68,30.4,0
65,79,29.96,0
64,69,29.7,0
67,59,29.57,0
63,81,29.84,0
61,77,29.95,0
74,85,29.72,1
55,89,29.68,1
43,74,30.09,1
46,78,30.32,0
45,77,30.42,1
48,58,30.33,0
50,86,30.05,1
61,71,29.9,0
55,86,29.79,0
48,59,30.02,0
42,61,30.3,0
45,59,30.26,0
50,58,30.28,0
52,68,30.17,0
59,75,29.91,0
59,58,29.79,0
45,65,30.19,0
48,70,30.32,0
56,78,30.19,0
51,70,30.1,0
54,66,30,1
46,56,30.31,0
44,61,30.28,0
53,61,30.03,0
66,66,29.94,0
48,47,30.32,0
52,53,30.17,0
57,53,30.02,0
62,59,29.87,0
72,55,29.81,0
66,73,29.74,0
62,28,29.78,0
49,41,30.2,0
47,49,30.46,0
48,47,30.38,0
51,51,30.35,0
50,62,30.23,0
56,37,30.34,0
57,40,30.32,0
56,54,30.3,0
68,36,30.12,0
63,60,30.21,0
64,60,30.25,0
66,71,29.97,0
62,59,29.89,0
63,49,29.99,0
63,35,30.2,0
67,68,30.16,0
73,63,30.1,0
71,76,30.03,0
68,86,30,1
65,74,29.88,0
54,76,29.73,1
54,49,30.18,0
54,53,30.31,0
53,42,30.4,0
58,62,30.24,0
67,72,30.04,0
70,72,30.04,0
70,62,30.02,0
64,59,30.06,0
73,53,29.97,0
61,48,30.12,0
68,66,30.13,0
68,74,30.08,0
70,76,29.83,1
76,74,29.69,1
65,92,29.75,1
61,92,29.88,1
65,87,29.93,1
71,59,29.79,0
73,48,29.79,0
80,59,29.79,0
71,61,29.93,0
73,76,29.88,1
68,85,29.82,1
55,52,30.16,0
53,44,30.39,0
52,57,30.37,0
62,67,30.06,0
74,71,29.8,1
59,51,29.93,1
57,60,29.95,0
61,75,29.9,0
62,51,30.09,0
64,76,29.91,1
73,88,29.74,1
76,59,29.67,0
59,57,29.97,1
60,50,30.24,0
62,58,30.18,0
68,48,30.15,0
68,50,30.14,0
69,56,30.04,0
67,55,30.01,0
68,51,30.11,0
68,63,30.09,1
68,83,30.03,1
65,83,30.04,1
66,75,30,0
67,77,29.87,0
70,92,29.84,1
71,90,29.93,1
69,87,30.05,1
72,79,30.06,0
71,72,29.98,1
72,70,29.97,1
72,63,30.06,0
69,61,30.02,0
79,76,29.77,0
79,77,29.67,0
76,54,29.69,1
76,73,29.7,1
67,60,30.08,0
71,57,30.04,0
74,51,30.02,0
71,60,30.03,0
73,65,29.96,0
70,88,29.85,1
77,69,29.76,0
79,75,29.87,1
76,76,29.98,1
76,78,30.09,1
72,87,30.07,1
67,83,30.05,1
74,84,29.92,1
74,83,29.92,1
71,77,30.02,1
69,84,29.97,1
73,74,29.98,0
77,81,30,0
78,84,29.88,1
81,76,29.91,0
82,81,29.96,0
79,76,29.84,1
71,87,29.76,1
78,79,29.9,1
79,78,30.03,1
78,67,29.99,1
75,85,29.87,1
78,75,29.88,1
76,76,29.88,1
75,74,29.89,1
77,76,29.89,1
78,66,29.86,0
80,53,29.85,0
81,64,29.88,0
81,71,29.9,0
82,73,29.92,0
80,77,29.95,0
85,72,30,0
86,74,30,0
85,76,29.94,0
86,71,29.85,0
87,66,29.9,0
86,71,29.94,0
87,70,29.93,0
86,67,29.96,0
86,67,30.06,0
85,65,30.14,0
86,66,30.08,0
86,72,30,0
85,70,30.03,0
84,73,30.01,0
83,81,30.03,1
86,73,30.07,0
86,65,30.06,0
87,69,30.02,1
84,66,29.97,0
85,65,29.94,0
85,70,29.97,0
87,67,29.97,0
88,67,29.91,0
90,62,29.9,0
89,65,29.95,0
90,68,29.94,0
89,64,29.92,0
90,64,29.96,0
89,65,29.99,0
87,67,29.95,1
90,60,29.88,0
89,64,29.91,0
91,64,29.96,0
89,64,29.96,0
90,62,29.97,0
88,66,29.98,0
88,63,30.02,0
89,65,30.09,0
89,64,30.11,0
89,62,30.12,0
89,60,30.07,0
89,59,30.01,0
90,60,29.93,0
90,64,29.91,0
89,66,29.91,1
84,76,29.93,1
83,78,29.97,1
86,70,29.98,0
85,67,29.97,0
87,71,29.98,0
88,66,29.97,0
87,62,30,0
87,67,30.03,0
88,68,29.98,0
88,65,29.92,0
89,67,29.93,0
89,63,29.93,0
89,65,29.89,0
89,65,29.86,0
91,66,29.88,0
92,64,29.93,0
90,64,29.91,0
92,63,29.81,0
87,73,29.82,1
78,90,29.91,1
74,97,30,1
77,90,30.02,1
80,90,30.06,1
81,84,30.04,1
84,76,29.94,1
78,87,29.89,1
78,87,29.97,1
83,75,30.05,1
86,70,30.09,0
85,72,30.09,0
84,75,30.04,1
84,73,30,0
82,73,29.96,0
83,72,29.98,1
82,75,29.98,1
83,73,29.97,0
84,75,29.93,1
86,70,29.92,0
84,73,29.97,0
84,73,29.96,1
86,79,30.07,1
87,75,30.08,0
86,70,29.99,0
86,72,29.93,0
82,68,30.06,1
81,64,30.08,0
82,70,29.94,0
83,70,29.97,0
85,69,29.92,0
85,67,29.94,0
87,70,29.93,0
88,68,29.97,0
87,66,30.01,0
86,62,29.99,0
82,64,29.95,0
85,73,29.96,1
87,72,29.95,1
79,83,29.98,1
70,89,30.08,1
74,71,30.07,0
77,61,30.04,0
75,61,30.15,0
72,54,30.14,0
72,65,30.02,0
75,66,29.91,0
81,69,29.8,0
84,72,29.87,0
74,69,30.18,0
71,49,30.21,0
68,53,30.16,0
71,57,30.09,0
76,66,30.04,0
79,73,30.09,1
81,70,30.02,0
85,66,29.94,0
84,69,29.86,0
84,67,29.85,0
84,71,29.93,0
74,60,30.07,0
65,50,30.23,0
64,57,30.17,0
77,72,30.16,0
76,69,30.12,0
76,68,30.16,0
74,67,30.16,0
75,68,30.13,0
76,67,30.11,0
73,72,30.05,0
81,72,29.98,1
81,78,30.06,1
74,84,30.19,1
71,89,30.24,0
68,91,30.22,1
68,85,30.13,1
66,94,30.09,1
66,92,30.16,1
63,94,30.23,1
64,72,30.29,0
67,72,30.22,0
65,75,30.18,0
69,74,30.09,0
73,60,30.04,0
71,58,29.97,0
70,74,29.9,0
52,46,30.54,0
51,55,30.35,0
61,64,30.09,0
69,83,29.94,1
62,71,30.11,1
61,70,30.19,0
61,87,30.32,1
62,69,30.31,0
66,75,29.93,0
65,53,29.57,0
64,53,29.67,0
55,45,30.02,0
53,56,30.08,0
58,77,30.05,1
51,95,29.97,1
51,88,30.01,1
50,95,29.85,1
51,84,29.94,0
48,86,30.11,0
44,68,30.49,0
40,45,30.6,0
44,75,30.37,0
59,91,30.04,1
57,73,30.02,0
64,73,30.01,0
50,78,30.18,0
50,78,30.31,0
59,82,29.94,0
55,80,29.78,0
32,48,30.49,0
34,42,30.68,0
47,40,30.46,0
57,41,30.2,0
59,48,30.26,0
60,74,30.1,1
74,74,29.94,0
73,72,30.08,0
60,51,30.38,0
63,74,29.85,0
64,79,29.85,1
60,52,30.04,0
42,58,30.13,0
49,64,29.96,0
29,55,30.31,0
32,48,30.74,0
37,50,30.64,0
57,69,30.3,0
69,66,30.02,0
70,72,29.95,0
74,70,30.04,0
67,74,30.25,1
52,92,30.33,1
62,87,30.01,1
64,78,29.97,1
54,86,30.11,1
52,93,30.09,1
62,66,29.74,0
65,62,29.58,1
62,38,29.75,0
61,44,29.94,0
67,62,29.71,0
59,53,29.92,0
50,46,30.27,0
48,48,30.35,0
55,44,30.32,0
63,38,30.19,0
61,44,30.03,0
67,68,29.98,0
55,52,30.22,0
49,77,30.24,1
71,59,29.8,0
69,49,29.88,0
56,39,30.28,0
65,70,30.16,0
76,71,29.99,0
73,73,30.09,0
57,80,29.94,1
54,53,30.16,0
55,54,30.1,0
64,67,29.85,0
74,58,29.78,0
71,76,29.84,1
64,80,29.95,1
67,61,29.97,0
69,48,29.86,0
73,50,29.64,0
67,31,29.8,0
54,42,30.13,0
75,79,29.89,0
64,59,30.08,0
58,30,30.4,0
56,45,30.48,0
57,72,30.33,1
66,84,30.11,1
64,94,30.09,1
55,85,30.21,1
58,85,30.14,1
57,46,30.24,0
62,64,30.26,0
69,78,30.19,1
74,69,30.12,0
75,72,30.23,0
75,69,30.2,0
75,63,30.11,0
74,70,30.06,0
76,67,30.07,0
75,56,30.02,0
72,68,29.91,1
69,48,29.97,0
75,67,29.84,0
78,73,29.83,0
78,67,29.78,0
72,62,29.76,1
68,50,29.85,0
71,56,29.76,0
71,79,29.82,0
67,74,29.75,1
70,58,29.72,0
75,52,29.67,0
64,45,30.04,0
64,52,30.21,0
67,55,30.17,0
69,72,29.99,0
74,73,29.9,0
76,82,29.98,1
67,94,30.12,1
70,79,30.16,0
75,69,30.07,0
76,71,30.03,0
77,73,30.01,0
72,73,30,0
79,73,30,0
80,66,29.86,0
65,69,29.99,1
64,50,30.1,0
65,61,29.87,0
76,73,29.58,0
77,51,29.56,0
70,58,29.72,0
83,64,29.58,0
79,64,29.59,1
65,43,29.89,1
71,50,29.93,0
77,57,29.9,0
70,43,30.03,0
71,44,30.03,0
73,52,29.95,0
75,56,29.94,0
74,66,29.97,0
71,86,29.96,1
80,73,29.88,1
76,61,29.9,0
74,54,29.91,0
78,63,29.89,0
80,67,29.9,0
78,74,29.8,0
80,67,29.77,1
85,64,29.74,0
75,77,29.89,1
70,74,30.05,1
69,81,29.99,1
72,73,29.89,1
72,54,29.83,0
78,55,29.72,0
84,70,29.81,0
87,71,29.85,1
80,73,29.87,1
78,70,30,0
78,68,30.02,0
77,74,30.01,1
78,75,29.95,0
82,69,29.9,1
80,76,29.83,1
78,72,29.74,1
81,67,29.82,0
83,55,29.9,0
83,60,29.9,0
82,69,29.87,0
82,62,29.86,0
83,62,29.9,0
87,63,29.87,0
87,63,29.9,0
88,65,29.92,0
88,60,29.82,0
89,61,29.73,0
89,60,29.75,0
84,72,29.92,1
87,60,29.92,0
86,54,29.79,0
88,54,29.67,0
91,63,29.76,0
79,70,30.02,1
83,67,30.11,1
82,74,30.08,1
81,75,30,1
82,70,29.91,0
87,68,29.85,0
89,64,29.88,0
89,63,30.06,0
88,62,30,0
90,60,29.97,0
89,58,30.01,0
89,60,30.06,0
87,61,30.05,1
88,59,30.02,0
89,56,29.99,0
88,57,29.95,0
89,58,29.96,0
89,59,29.99,0
90,59,30.06,0
89,58,30.07,0
87,65,30.01,1
84,67,29.93,0
88,61,29.98,0
89,60,30.07,0
90,56,30.03,0
90,58,29.9,0
90,58,29.88,1
89,60,29.95,1
91,61,30.03,0
89,54,29.97,0
91,54,29.9,0
92,51,29.86,0
93,48,29.91,0
88,43,29.97,0
